PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
13,TEAM,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8808,4,
14,LA_PALMA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5873,4,
15,TRASK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5899,4,
16,SUNNYHILLS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5840,4,
17,SHAWNEE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5869,4,
18,MARION,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5866,4,
19,LAMPSON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5870,4,
20,BARRE_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,4,
21,FULLERTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5822,4,
22,ELY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5819,4,
23,BOLSA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5807,4,
24,APOLLO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5806,4,
25,KINDER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5699,4,
26,BARRE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5081,4,
27,GILBERT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5833,4,
319,SKIP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0239,4,
974,CEDARWOOD,No,Yes,NULL,Inside,Yes,NULL,Yes,5859,4,
978,BASTA,No,Yes,NULL,Inside,Yes,NULL,Yes,5883,4,
