DeviceName,SeriesGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,SeriesTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName
SANTIAGO BK 7_9,EMS,ABC,en_1536706,en_1536013,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
BUS TRANSFER_31,EMS,ABC,en_1185101,en_1185120,SRD_4.0KV_EMS,DMSLimitGrp1,ATHENS,NULL,All
CORONA 12 BT_42,EMS,ABC,en_1530800,en_1530105,SRD_12.0KV_EMS,DMSLimitGrp1,CORONA,NULL,All
CORONA 33kV BT_47,EMS,ABC,en_1529951,en_1529100,SRD_33.0KV_EMS,DMSLimitGrp1,CORONA,NULL,All
CORONA 4kV BT_48,EMS,ABC,en_1531950,en_1531103,SRD_4.0KV_EMS,DMSLimitGrp1,CORONA,NULL,All
CORONA BK 6_89,EMS,ABC,en_1530900,en_1530005,SRD_12.0KV_EMS,DMSLimitGrp1,CORONA,NULL,All
BULLIS BK 2_90,EMS,ABC,en_252703,en_252012,SRD_16.0KV_EMS,DMSLimitGrp1,BULLIS,NULL,All
CORONA BK 7_91,EMS,ABC,en_1530901,en_1530013,SRD_12.0KV_EMS,DMSLimitGrp1,CORONA,NULL,All
LYNWOOD 4 TIE_92,EMS,ABC,en_264109,en_264201,SRD_4.0KV_EMS,DMSLimitGrp1,LYNWOOD,NULL,All
SIGNAL H 12 TIE_98,EMS,ABC,en_281201,en_281050,SRD_12.0KV_EMS,DMSLimitGrp1,SIGNAL_HILL,NULL,All
SIGNAL H 4 TIE_99,EMS,ABC,en_282999,en_282201,SRD_4.0KV_EMS,DMSLimitGrp1,SIGNAL_HILL,NULL,All
SUNNYSID 12 TIE_100,EMS,ABC,en_284400,en_284050,SRD_12.0KV_EMS,DMSLimitGrp1,SUNNYSIDE,NULL,All
SUNNYSIDE 4 TIE_101,EMS,ABC,en_285201,en_285050,SRD_4.0KV_EMS,DMSLimitGrp1,SUNNYSIDE,NULL,All
SANTIAGO BK 5_104,EMS,ABC,en_1536703,en_1536003,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
SANTIAGO BK 8_106,EMS,ABC,en_1536709,en_1536015,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
ROADWAY BK 2_124,EMS,ABC,en_3571706,en_3571061,SRD_12.0KV_EMS,DMSLimitGrp1,ROADWAY,NULL,All
CALECTRC BK 2_134,EMS,ABC,en_1542706,en_1542060,SRD_33.0KV_EMS,DMSLimitGrp1,CALECTRIC,NULL,All
PHELAN 33 TIE_145,EMS,ABC,en_414101,en_414102,SRD_33.0KV_EMS,DMSLimitGrp1,PHELAN,NULL,All
PHELAN 12 TIE_148,EMS,ABC,en_415105,en_415106,SRD_12.0KV_EMS,DMSLimitGrp1,PHELAN,NULL,All
SANTIAGO PAR C_154,EMS,ABC,en_1536147,en_1536148,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
SANTIAGO PAR A_155,EMS,ABC,en_1536113,en_1536114,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
SANTIAGO BT_171,EMS,ABC,en_1536131,en_1536009,SRD_12.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
GALAHAD-GALAHAD_235,EMS,ABC,en_800052,en_800116,SRD_16.0KV_EMS,DMSLimitGrp1,LATIGO,NULL,All
CUTHBERT-CUTHBER_236,EMS,ABC,en_800053,en_800118,SRD_16.0KV_EMS,DMSLimitGrp1,LATIGO,NULL,All
MOULTON BK 1_264,EMS,ABC,en_4202703,en_4202005,SRD_12.0KV_EMS,DMSLimitGrp1,MOULTON,NULL,All
MOULTON BK 2_265,EMS,ABC,en_4202706,en_4202011,SRD_12.0KV_EMS,DMSLimitGrp1,MOULTON,NULL,All
CALECTRC BK 1_323,EMS,ABC,en_1542703,en_1542053,SRD_33.0KV_EMS,DMSLimitGrp1,CALECTRIC,NULL,All
